CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
12  1549.066832    0.000079  0.000027  ...  0.000012  7.537532e+06  1.734086e+09
13  1549.066610    0.000077  0.000026  ...  0.000012  7.549236e+06  1.734087e+09
14  1549.066611    0.000078  0.000026  ...  0.000012  7.547835e+06  1.734087e+09
15  1549.066698    0.000105  0.000050  ...  0.000012  7.766701e+06  1.734087e+09
16  1549.066721    0.000130  0.000072  ...  0.000012  7.652885e+06  1.734087e+09
17  1549.066760    0.000153  0.000100  ...  0.000012  7.730815e+06  1.734087e+09
18  1549.066756    0.000088  0.000034  ...  0.000012  7.622863e+06  1.734087e+09
19  1549.066820    0.000173  0.000136  ...  0.000012  7.933639e+06  1.734086e+09
20  1549.066417    0.000167  0.000132  ...  0.000012  7.972640e+06  1.734086e+09
21  1549.066751    0.000085  0.000032  ...  0.000012  7.647533e+06  1.734086e+09
22  1549.066734    0.000158  0.000114  ...  0.000012  7.915609e+06  1.734086e+09
23  1549.066672    0.000119  0.000065  ...  0.000012  7.814501e+06  1.734086e+09
24  1549.066835    0.000132  0.000075  ...  0.000012  7.696662e+06  1.734086e+09
25  1549.066841    0.000077  0.000026  ...  0.000012  7.534558e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_7
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1550.069821    0.000129  0.000040  ...  0.000012  7.640831e+06  1.734086e+09
1   1550.069926    0.000129  0.000040  ...  0.000012  7.649015e+06  1.734086e+09
2   1550.069779    0.000129  0.000039  ...  0.000012  7.641282e+06  1.734086e+09
3   1550.069758    0.000128  0.000039  ...  0.000012  7.663472e+06  1.734086e+09
4   1550.069775    0.000128  0.000039  ...  0.000012  7.636797e+06  1.734086e+09
5   1550.069759    0.000128  0.000039  ...  0.000012  7.649193e+06  1.734086e+09
6   1550.069815    0.000127  0.000038  ...  0.000012  7.635179e+06  1.734087e+09
7   1550.069720    0.000128  0.000039  ...  0.000012  7.642897e+06  1.734087e+09
8   1550.069739    0.000127  0.000039  ...  0.000012  7.644739e+06  1.734087e+09
9   1550.069725    0.000127  0.000038  ...  0.000012  7.636227e+06  1.734087e+09
10  1550.069701    0.000128  0.000039  ...  0.000012  7.648646e+06  1.734087e+09
11  1550.069695    0.000127  0.000038  ...  0.000012  7.640621e+06  1.734087e+09
12  1550.069813    0.000128  0.000039  ...  0.000012  7.634068e+06  1.734086e+09
13  1550.069615    0.000129  0.000040  ...  0.000012  7.586629e+06  1.734087e+09
14  1550.069672    0.000128  0.000039  ...  0.000012  7.647337e+06  1.734087e+09
15  1550.069708    0.000128  0.000039  ...  0.000012  7.646563e+06  1.734087e+09
16  1550.069738    0.000128  0.000039  ...  0.000012  7.651850e+06  1.734087e+09
17  1550.069574    0.000129  0.000039  ...  0.000012  7.644637e+06  1.734087e+09
18  1550.069663    0.000129  0.000039  ...  0.000012  7.580529e+06  1.734087e+09
19  1550.069876    0.000129  0.000040  ...  0.000012  7.630148e+06  1.734086e+09
20  1550.069940    0.000127  0.000039  ...  0.000012  7.638438e+06  1.734086e+09
21  1550.069882    0.000129  0.000040  ...  0.000012  7.641183e+06  1.734086e+09
22  1550.069794    0.000127  0.000039  ...  0.000012  7.649508e+06  1.734086e+09
23  1550.069759    0.000128  0.000039  ...  0.000012  7.636110e+06  1.734086e+09
24  1550.069816    0.000128  0.000039  ...  0.000012  7.640910e+06  1.734086e+09
25  1550.069928    0.000128  0.000039  ...  0.000012  7.658955e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_8
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1551.043969    0.000076  0.000017  ...  0.000012  7.597862e+06  1.734086e+09
1   1551.044005    0.000076  0.000017  ...  0.000012  7.588620e+06  1.734086e+09
2   1551.044019    0.000076  0.000017  ...  0.000012  7.589582e+06  1.734086e+09
3   1551.044047    0.000075  0.000017  ...  0.000012  7.596126e+06  1.734086e+09
4   1551.043969    0.000077  0.000018  ...  0.000012  7.591363e+06  1.734086e+09
5   1551.043978    0.000074  0.000016  ...  0.000012  7.586580e+06  1.734086e+09
6   1551.043992    0.000075  0.000017  ...  0.000012  7.586608e+06  1.734087e+09
7   1551.043945    0.000075  0.000017  ...  0.000012  7.594656e+06  1.734087e+09
8   1551.043907    0.000076  0.000017  ...  0.000012  7.590081e+06  1.734087e+09
9   1551.043956    0.000076  0.000017  ...  0.000012  7.589985e+06  1.734087e+09
10  1551.043888    0.000076  0.000017  ...  0.000012  7.594969e+06  1.734087e+09
11  1551.043946    0.000076  0.000017  ...  0.000012  7.591256e+06  1.734087e+09
12  1551.044048    0.000075  0.000017  ...  0.000012  7.592792e+06  1.734086e+09
13  1551.043828    0.000076  0.000017  ...  0.000012  7.590269e+06  1.734087e+09
14  1551.043802    0.000077  0.000018  ...  0.000012  7.586365e+06  1.734087e+09
15  1551.043853    0.000075  0.000017  ...  0.000012  7.591831e+06  1.734087e+09
16  1551.043900    0.000076  0.000017  ...  0.000012  7.584411e+06  1.734087e+09
17  1551.043810    0.000076  0.000017  ...  0.000012  7.590087e+06  1.734087e+09
18  1551.043784    0.000076  0.000017  ...  0.000012  7.586897e+06  1.734087e+09
19  1551.044062    0.000077  0.000018  ...  0.000012  7.582695e+06  1.734086e+09
20  1551.043999    0.000077  0.000018  ...  0.000012  7.587689e+06  1.734086e+09
21  1551.043986    0.000076  0.000017  ...  0.000012  7.590406e+06  1.734086e+09
22  1551.043984    0.000077  0.000018  ...  0.000012  7.588540e+06  1.734086e+09
23  1551.044043    0.000077  0.000018  ...  0.000012  7.592932e+06  1.734086e+09
24  1551.043936    0.000077  0.000018  ...  0.000012  7.593366e+06  1.734086e+09
25  1551.043924    0.000075  0.000017  ...  0.000012  7.593927e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_9
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1552.026057    0.000096  0.000021  ...  0.000012  7.656336e+06  1.734086e+09
1   1552.026124    0.000095  0.000021  ...  0.000012  7.631609e+06  1.734086e+09
2   1552.025873    0.000098  0.000022  ...  0.000012  7.662990e+06  1.734086e+09
3   1552.025944    0.000098  0.000022  ...  0.000012  7.668044e+06  1.734086e+09
4   1552.025982    0.000099  0.000023  ...  0.000012  7.651840e+06  1.734086e+09
5   1552.026000    0.000096  0.000021  ...  0.000012  7.663669e+06  1.734086e+09
6   1552.025918    0.000098  0.000022  ...  0.000012  7.665985e+06  1.734087e+09
7   1552.025912    0.000094  0.000020  ...  0.000012  7.656110e+06  1.734087e+09
8   1552.025935    0.000095  0.000021  ...  0.000012  7.674436e+06  1.734087e+09
9   1552.025915    0.000093  0.000020  ...  0.000012  7.657320e+06  1.734087e+09
10  1552.025885    0.000096  0.000021  ...  0.000012  7.669384e+06  1.734087e+09
11  1552.025928    0.000096  0.000021  ...  0.000012  7.668038e+06  1.734087e+09
12  1552.026083    0.000096  0.000021  ...  0.000012  7.671619e+06  1.734086e+09
13  1552.025924    0.000096  0.000021  ...  0.000012  7.628533e+06  1.734087e+09
14  1552.025839    0.000097  0.000022  ...  0.000012  7.668674e+06  1.734087e+09
15  1552.025907    0.000096  0.000021  ...  0.000012  7.666611e+06  1.734087e+09
16  1552.025914    0.000098  0.000022  ...  0.000012  7.662856e+06  1.734087e+09
17  1552.025851    0.000096  0.000021  ...  0.000012  7.626532e+06  1.734087e+09
18  1552.025780    0.000099  0.000023  ...  0.000012  7.664385e+06  1.734087e+09
19  1552.026015    0.000095  0.000021  ...  0.000012  7.676206e+06  1.734086e+09
20  1552.025980    0.000096  0.000022  ...  0.000012  7.678649e+06  1.734086e+09
21  1552.025916    0.000107  0.000026  ...  0.000012  7.500699e+06  1.734086e+09
22  1552.025981    0.000096  0.000021  ...  0.000012  7.671055e+06  1.734086e+09
23  1552.025970    0.000095  0.000021  ...  0.000012  7.672068e+06  1.734086e+09
24  1552.025995    0.000098  0.000022  ...  0.000012  7.619276e+06  1.734086e+09
25  1552.026086    0.000096  0.000022  ...  0.000012  7.674045e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_10
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1553.031680    0.000087  0.000013  ...  0.000012  7.746188e+06  1.734086e+09
